TradDt,BizDt,Sgmt,Src,FinInstrmTp,FinInstrmId,ISIN,TckrSymb,SctySrs,XpryDt,FininstrmActlXpryDt,StrkPric,OptnTp,FinInstrmNm,OpnPric,HghPric,LwPric,ClsPric,LastPric,PrvsClsgPric,UndrlygPric,SttlmPric,OpnIntrst,ChngInOpnIntrst,TtlTradgVol,TtlTrfVal,TtlNbOfTxsExctd,SsnId,NewBrdLotQty,Rmks,Rsvd1,Rsvd2,Rsvd3,Rsvd4
2026-07-03,2026-07-03,FO,NSE,IDO,63574,,MIDCPNIFTY,,2026-07-28,2026-07-28,15450.00,PE,MIDCPNIFTY26JUL15450PE,0.00,0.00,0.00,1500.30,0.00,1500.30,14545.90,927.55,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63584,,MIDCPNIFTY,,2026-07-28,2026-07-28,15575.00,PE,MIDCPNIFTY26JUL15575PE,0.00,0.00,0.00,1597.00,0.00,1597.00,14545.90,1032.85,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63588,,MIDCPNIFTY,,2026-07-28,2026-07-28,15625.00,PE,MIDCPNIFTY26JUL15625PE,0.00,0.00,0.00,1636.55,0.00,1636.55,14545.90,1076.05,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60705,,MIDCPNIFTY,,2026-08-25,2026-08-25,15600.00,CE,MIDCPNIFTY26AUG15600CE,0.00,0.00,0.00,422.85,0.00,422.85,14545.90,195.55,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60687,,MIDCPNIFTY,,2026-08-25,2026-08-25,15450.00,CE,MIDCPNIFTY26AUG15450CE,0.00,0.00,0.00,473.50,0.00,473.50,14545.90,232.00,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60671,,MIDCPNIFTY,,2026-08-25,2026-08-25,15275.00,CE,MIDCPNIFTY26AUG15275CE,0.00,0.00,0.00,538.20,0.00,538.20,14545.90,282.20,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60657,,MIDCPNIFTY,,2026-08-25,2026-08-25,15175.00,CE,MIDCPNIFTY26AUG15175CE,0.00,0.00,0.00,578.05,0.00,578.05,14545.90,314.40,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60615,,MIDCPNIFTY,,2026-08-25,2026-08-25,14775.00,CE,MIDCPNIFTY26AUG14775CE,0.00,0.00,0.00,758.85,0.00,758.85,14545.90,471.15,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60597,,MIDCPNIFTY,,2026-08-25,2026-08-25,14625.00,CE,MIDCPNIFTY26AUG14625CE,0.00,0.00,0.00,835.75,0.00,835.75,14545.90,542.15,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60585,,MIDCPNIFTY,,2026-08-25,2026-08-25,14575.00,CE,MIDCPNIFTY26AUG14575CE,0.00,0.00,0.00,862.45,0.00,862.45,14545.90,567.35,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60557,,MIDCPNIFTY,,2026-08-25,2026-08-25,14375.00,CE,MIDCPNIFTY26AUG14375CE,0.00,0.00,0.00,975.00,0.00,975.00,14545.90,675.65,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60351,,MIDCPNIFTY,,2026-08-25,2026-08-25,12675.00,CE,MIDCPNIFTY26AUG12675CE,0.00,0.00,0.00,2254.60,0.00,2254.60,14545.90,2014.05,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60369,,MIDCPNIFTY,,2026-08-25,2026-08-25,12825.00,CE,MIDCPNIFTY26AUG12825CE,0.00,0.00,0.00,2122.75,0.00,2122.75,14545.90,1874.50,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60402,,MIDCPNIFTY,,2026-08-25,2026-08-25,13000.00,CE,MIDCPNIFTY26AUG13000CE,0.00,0.00,0.00,1972.55,0.00,1972.55,14545.90,1715.05,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60421,,MIDCPNIFTY,,2026-08-25,2026-08-25,13175.00,CE,MIDCPNIFTY26AUG13175CE,0.00,0.00,0.00,1826.70,0.00,1826.70,14545.90,1559.85,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72985,,MIDCPNIFTY,,2026-09-29,2026-09-29,15025.00,PE,MIDCPNIFTY26SEP15025PE,0.00,0.00,0.00,879.90,0.00,879.90,14545.90,797.05,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72975,,MIDCPNIFTY,,2026-09-29,2026-09-29,14925.00,PE,MIDCPNIFTY26SEP14925PE,0.00,0.00,0.00,821.10,0.00,821.10,14545.90,741.00,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72824,,MIDCPNIFTY,,2026-09-29,2026-09-29,14100.00,PE,MIDCPNIFTY26SEP14100PE,0.00,0.00,0.00,422.75,0.00,422.75,14545.90,367.50,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72804,,MIDCPNIFTY,,2026-09-29,2026-09-29,13975.00,PE,MIDCPNIFTY26SEP13975PE,0.00,0.00,0.00,376.10,0.00,376.10,14545.90,324.75,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72779,,MIDCPNIFTY,,2026-09-29,2026-09-29,13775.00,PE,MIDCPNIFTY26SEP13775PE,0.00,0.00,0.00,308.80,0.00,308.80,14545.90,264.20,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,72758,,MIDCPNIFTY,,2026-09-29,2026-09-29,13675.00,PE,MIDCPNIFTY26SEP13675PE,0.00,0.00,0.00,278.45,0.00,278.45,14545.90,237.00,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60644,,MIDCPNIFTY,,2026-08-25,2026-08-25,15050.00,PE,MIDCPNIFTY26AUG15050PE,0.00,0.00,0.00,782.85,0.00,782.85,14545.90,721.20,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60540,,MIDCPNIFTY,,2026-08-25,2026-08-25,14250.00,PE,MIDCPNIFTY26AUG14250PE,0.00,0.00,0.00,413.75,0.00,413.75,14545.90,319.80,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60732,,MIDCPNIFTY,,2026-08-25,2026-08-25,15850.00,PE,MIDCPNIFTY26AUG15850PE,0.00,0.00,0.00,1288.10,0.00,1288.10,14545.90,1299.00,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60716,,MIDCPNIFTY,,2026-08-25,2026-08-25,15675.00,PE,MIDCPNIFTY26AUG15675PE,0.00,0.00,0.00,1166.95,0.00,1166.95,14545.90,1160.15,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,73001,,MIDCPNIFTY,,2026-09-29,2026-09-29,15225.00,PE,MIDCPNIFTY26SEP15225PE,0.00,0.00,0.00,1003.85,0.00,1003.85,14545.90,915.80,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60524,,MIDCPNIFTY,,2026-08-25,2026-08-25,14125.00,PE,MIDCPNIFTY26AUG14125PE,0.00,0.00,0.00,368.85,0.00,368.85,14545.90,274.55,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60502,,MIDCPNIFTY,,2026-08-25,2026-08-25,13875.00,PE,MIDCPNIFTY26AUG13875PE,0.00,0.00,0.00,289.20,0.00,289.20,14545.90,198.25,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60496,,MIDCPNIFTY,,2026-08-25,2026-08-25,13800.00,PE,MIDCPNIFTY26AUG13800PE,0.00,0.00,0.00,268.50,0.00,268.50,14545.90,178.65,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60448,,MIDCPNIFTY,,2026-08-25,2026-08-25,13450.00,PE,MIDCPNIFTY26AUG13450PE,0.00,0.00,0.00,182.95,0.00,182.95,14545.90,104.55,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60428,,MIDCPNIFTY,,2026-08-25,2026-08-25,13200.00,PE,MIDCPNIFTY26AUG13200PE,0.00,0.00,0.00,135.60,0.00,135.60,14545.90,68.20,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,60704,,MIDCPNIFTY,,2026-08-25,2026-08-25,15575.00,PE,MIDCPNIFTY26AUG15575PE,0.00,0.00,0.00,1100.30,0.00,1100.30,14545.90,1084.15,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63600,,MIDCPNIFTY,,2026-07-28,2026-07-28,15775.00,PE,MIDCPNIFTY26JUL15775PE,0.00,0.00,0.00,1757.30,0.00,1757.30,14545.90,1208.70,0,0,0,0.00,0,F1,120,,,,,
2026-07-03,2026-07-03,FO,NSE,IDO,63608,,MIDCPNIFTY,,2026-07-28,2026-07-28,15875.00,PE,MIDCPNIFTY26JUL15875PE,0.00,0.00,0.00,1839.50,0.00,1839.50,14545.90,1299.40,0,0,0,0.00,0,F1,120,,,,,
